Average Settlement Densities,,,,
,,,,
Trial,Egregia_Monoculture,Macrocystis_Monoculture,Egregia_Polyculture,Macrocystis_Polyculture
1,20,44.33,20.33,6
1,38.67,54.33,10.67,25
1,21.3,36.666,14.67,19.67
1,5,50,3.67,17.66
1,2,28.666,8.67,6.33
1,1.333,31.3333,9,11.33
2,36.6,42.2,15.25,32.5
2,41.8,29.2,13.8,17.2
2,46,49.6,20.6,20.6
2,26.6,33.8,21.6,22.4
2,29.6,52.8,13.4,19.8
2,62.8,51.8,18,25.6
3,31.3,53.6,21.4,22
3,39,41.6,18.6,29.2
3,54.6,46.4,16.8,30.2
3,49.2,41,23,33.8
3,43,26,13.8,19.2
3,35.2,27.4,22.6,29.2
